timestamp,red,ir
9598219,80585,113945
9608219,80588,113938
9618219,80592,113941
9628219,80583,113944
9638219,80596,113941
9648219,80585,113959
9658219,80588,113942
9668219,80585,113941
9678219,80586,113948
9688219,80583,113957
9698219,80577,113953
9708219,80582,113955
9719219,80583,113959
9729219,80582,113964
9739219,80591,113986
9749219,80579,113993
9759219,80583,113987
9769219,80599,113999
9779219,80585,114002
9789219,80581,114011
9799219,80587,114031
9809219,80598,114027
9819219,80595,114026
9829219,80595,114024
9839219,80596,114031
9849219,80591,114047
9859219,80591,114033
9869219,80589,114027
9879219,80582,114023
9889219,80586,114032
9900219,80581,114026
9910219,80591,114036
9920219,80586,114026
9930219,80578,114030
9940219,80589,114039
9950219,80577,114029
9960219,80578,114028
9970219,80580,114028
9980219,80574,114031
9990219,80578,114026
10000219,80582,114035
10010219,80589,114032
10020219,80582,114034
10030219,80588,114029
10040219,80578,114038
10050219,80585,114023
10060219,80580,114021
10070219,80577,114032
10080219,80568,114028
10091219,80578,114030
10101219,80581,114040
10111219,80575,114051
10121219,80571,114043
10131219,80561,114047
10141219,80579,114055
10151219,80572,114044
10161219,80573,114054
10171219,80576,114070
10181219,80573,114062
10191219,80583,114067
10201219,80594,114066
10211219,80589,114062
10221219,80582,114068
10231219,80582,114064
10241219,80578,114052
10251219,80586,114058
10261219,80574,114051
10271219,80563,114031
10282219,80568,113997
10292219,80545,113911
10302219,80523,113789
10312219,80476,113668
10322219,80450,113516
10332219,80419,113394
10342219,80399,113310
10352219,80367,113289
10362219,80372,113291
10372219,80390,113339
10382219,80411,113380
10392219,80418,113417
10402219,80427,113470
10412219,80432,113501
10422219,80442,113546
10432219,80452,113565
10442219,80453,113596
10452219,80461,113627
10462219,80463,113633
10473219,80467,113661
10483219,80472,113693
10493219,80470,113700
10503219,80482,113732
10513219,80480,113750
10523219,80489,113772
10533219,80490,113798
10543219,80499,113821
10553219,80496,113828
10563219,80505,113840
10573219,80511,113836
10583219,80521,113836
10593219,80512,113839
10603219,80511,113857
10613219,80514,113853
10623219,80522,113864
10633219,80522,113855
10643219,80513,113862
10653219,80510,113856
10664219,80518,113859
10674219,80511,113855
10684219,80514,113887
10694219,80503,113892
10704219,80508,113890
10714219,80510,113900
10724219,80514,113906
10734219,80521,113916
10744219,80517,113925
10754219,80533,113928
10764219,80532,113935
10774219,80528,113945
10784219,80526,113926
10794219,80524,113942
10804219,80521,113931
10814219,80522,113925
10824219,80517,113897
10834219,80521,113900
10845219,80508,113885
10855219,80497,113877
10865219,80507,113881
10875219,80492,113865
10885219,80490,113859
10895219,80482,113854
10905219,80495,113860
10915219,80491,113875
10925219,80499,113906
10935219,80503,113914
10945219,80507,113925
10955219,80512,113956
10965219,80518,113971
10975219,80515,113965
10985219,80515,113956
10995219,80521,113961
11005219,80515,113954
11015219,80509,113961
11025219,80505,113943
11036219,80507,113933
11046219,80503,113926
11056219,80493,113924
11066219,80491,113931
11076219,80485,113929
11086219,80493,113934
11096219,80501,113949
11106219,80491,113940
11116219,80492,113949
11126219,80505,113966
11136219,80512,113950
11146219,80504,113961
11156219,80500,113952
11166219,80495,113938
11176219,80491,113928
11186219,80487,113892
11196219,80474,113827
11206219,80458,113717
11216219,80412,113543
11227219,80349,113254
11237219,80279,112883
11247219,80181,112536
11257219,80098,112193
11267219,80011,111932
11277219,79942,111733
11287219,79920,111618
11297219,79889,111582
11307219,79884,111562
11317219,79890,111598
11327219,79905,111647
11337219,79927,111678
11347219,79919,111724
11357219,79937,111760
11367219,79942,111802
11377219,79955,111859
11387219,79973,111899
11397219,79970,111930
11407219,79973,111984
11418219,79988,112017
11428219,80001,112050
11438219,80014,112115
11448219,80014,112159
11458219,80024,112208
11468219,80049,112239
